id	charter	title1	black	hisp	white	locale	type	studentteacherratio	students	shooting
370192000791	FALSE	TRUE	0.6042402827	0.2261484099	0.03886925795	Urban	Elementary	15.58	283	FALSE
450390800772	FALSE	TRUE	0.7161716172	0.04620462046	0.1947194719	Town	Middle	13.17	303	FALSE
450144000210	FALSE	TRUE	0.7943925234	0	0.1464174455	Urban	Elementary	12.35	321	FALSE
403024001601	FALSE		0.2622107969	0.146529563	0.3110539846		Middle	20.1	389	FALSE
250054802781	TRUE	TRUE	0.6985294118	0.25	0.003676470588	Urban	High	11.01	272	FALSE
250000201766	FALSE	TRUE	0.02164502165	0.06493506494	0.8744588745	Town	Middle	11.85	231	FALSE
420586007499	FALSE	TRUE	0.8819742489	0.08369098712	0.004291845494	Suburb	High	12.26	466	FALSE
422646007508	FALSE	TRUE	0.1435963777	0.04527813713	0.6714100906	Urban	Middle	13.28	773	FALSE
100068000245	FALSE	TRUE	0.1106666667	0.5573333333	0.296	Town	Middle	15.62	750	FALSE
290450000044	FALSE	TRUE	0.1314655172	0.03663793103	0.6400862069	Suburb	High	16.41	464	TRUE
370001100428	FALSE	TRUE	0.2304347826	0.1130434783	0.5391304348	Rural	Elementary	15	230	FALSE
280099000111	FALSE	TRUE	0.3602484472	0.004140786749	0.6273291925	Rural	High	9.92	483	FALSE
480795000124	FALSE	TRUE	0.009554140127	0.6178343949	0.3312101911	Town	High	10.28	314	TRUE
340423000273	FALSE		0.968879668	0.02282157676	0.002074688797		Elementary	12.68	482	FALSE
350111000303	FALSE		0.002247191011	0.1730337079	0.02921348315		High	16.64	890	FALSE
251113002740	FALSE	TRUE	0.2	0.74	0.06	Urban	Middle	4.1	50	FALSE
421617004458	FALSE	TRUE	0.01705426357	0.006201550388	0.9627906977	Suburb	High	15.48	645	FALSE
450390101582	TRUE	TRUE	0.3540856031	0.05836575875	0.4085603113	Suburb	Middle	11.87	514	FALSE
220087000690	FALSE	TRUE	0.3778625954	0.1221374046	0.4446564885	Suburb	Middle	18.71	524	FALSE
